"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Latin America & Caribbean","PAN","Panama","HEPBB","85.0","87.0","84.0","85.0","84.0","79.0","87.0","93.0","89.0","78.0","80.0","83.0","79.0","75.0","85.0","57.0","30.0","2.0","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PNG","Papua New Guinea","HEPBB","25.0","33.0","35.0","32.0","31.0","37.0","35.0","31.0","31.0","26.0","27.0","29.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PRY","Paraguay","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","PER","Peru","HEPBB","73.0","75.0","79.0","79.0","78.0","82.0","81.0","76.0","74.0","71.0","79.0","73.0","66.0","67.0","68.0","60.0","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PHL","Philippines","HEPBB","50.0","55.0","59.0","56.0","51.0","46.0","39.0","46.0","37.0","34.0","21.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","POL","Poland","HEPBB","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","92.0","94.0","94.0","95.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","PRT","Portugal","HEPBB","97.0","97.0","97.0","97.0","98.0","98.0","97.0","97.0","96.0","95.0","95.0","95.0","91.0","86.0","86.0","84.0","99.0","82.0","64.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","QAT","Qatar","HEPBB","97.0","97.0","96.0","95.0","92.0","93.0","95.0","95.0","99.0","94.0","94.0","93.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KOR","Republic of Korea","HEPBB","91.0","93.0","92.0","98.0","92.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MDA","Republic of Moldova","HEPBB","96.0","96.0","99.0","96.0","96.0","95.0","99.0","99.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","91.0","93.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MKD","Republic of North Macedonia","HEPBB","98.0","98.0","98.0","98.0","98.0","98.0","99.0","97.0","95.0","93.0","92.0","90.0","88.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ROU","Romania","HEPBB","36.0","36.0","93.0","96.0","73.0","98.0","99.0","99.0","98.0","97.0","99.0","90.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","RUS","Russian Federation","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","RWA","Rwanda","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","KNA","Saint Kitts and Nevis","HEPBB","82.0","83.0","90.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","LCA","Saint Lucia","HEPBB","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","VCT","Saint Vincent and the Grenadines","HEPBB","97.0","30.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","WSM","Samoa","HEPBB","46.0","81.0","77.0","72.0","69.0","78.0","83.0","87.0","78.0","62.0","68.0","85.0","58.0","52.0","45.0","66.0","86.0","85.0","86.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","SMR","San Marino","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","STP","Sao Tome and Principe","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
